Highway,Side,Between,Prohibited Times and/or Days,parsed_data
Saraband Street,North,Woolenscote Circle and Westmore Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Woolenscote Circle', 'end_intersection': 'Westmore Drive', 'rule_type': 'block'}"
Princess Margaret Boulevard,South,Princess Anne Crescent and a point 103.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Princess Anne Crescent', 'distance': '103.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Pumfrey Crescent,"West, south and east",Kidron Valley Drive (west intersection) and Kidron Valley Drive (east intersection),Anytime,"{'start_intersection': 'Kidron Valley Drive (west intersection)', 'end_intersection': 'Kidron Valley Drive (east intersection)', 'rule_type': 'block'}"
Queen Marys Drive,South,Kingsway Crescent and Strath Avenue,Anytime,"{'start_intersection': 'Kingsway Crescent', 'end_intersection': 'Strath Avenue', 'rule_type': 'block'}"
Queens Avenue,East,Allen Avenue and Mimico Avenue,"9:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Allen Avenue', 'end_intersection': 'Mimico Avenue', 'rule_type': 'block'}"
Queens Avenue,Both,Lake Shore Boulevard West and Hillside Avenue,Anytime,"{'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'Hillside Avenue', 'rule_type': 'block'}"
Queensway Lions Court,East,The Quensway and the south end of Queensway Lions Court,Anytime,"{'start_intersection': 'The Quensway', 'end_intersection': 'the south end of Queensway Lions Court', 'rule_type': 'block'}"
Mount Olive Drive,East,A point 128 metres south of Silverstone Drive (northwest intersection) and a point 209 metres south thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '128', 'dir1': 'south', 'start_intersection': 'Silverstone Drive (northwest intersection)', 'dist2': '209', 'rule_type': 'relative_extension'}"
Mount Olive Drive,West,A point 128 metres south of Silverstone Drive (northwest intersection) and a point 146.5 metres north of Garfella Drive,Anytime,"{'start_intersection': 'A point 128 metres south of Silverstone Drive (northwest intersection)', 'distance': '146.5', 'direction': 'north', 'offset_intersection': 'Garfella Drive', 'rule_type': 'intersect_to_offset'}"
Old Mill Terrace,"East, north and west",Bloor Street West (west intersection) and Bloor Street West (east intersection),Anytime,"{'start_intersection': 'Bloor Street West (west intersection)', 'end_intersection': 'Bloor Street West (east intersection)', 'rule_type': 'block'}"
Olivewood Road,North,Shawbridge Avenue and Kipling Avenue,Anytime,"{'start_intersection': 'Shawbridge Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Riverhead Drive,Both,Fallowfield Road and the south end of Riverhead Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Fallowfield Road', 'end_intersection': 'the south end of Riverhead Drive', 'rule_type': 'block'}"
Sand Beach Road,West,Lake Shore Boulevard West and Nautical Lane,Anytime,"{'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'Nautical Lane', 'rule_type': 'block'}"
Sandwell Drive,East,A point 82 metres north of The Westway and a point 34 metres north thereof,Anytime,"{'dist1': '82', 'dir1': 'north', 'start_intersection': 'The Westway', 'dist2': '34', 'rule_type': 'relative_extension'}"
Sandwell Drive,East,Learmont Drive and Lavington Drive,Anytime,"{'start_intersection': 'Learmont Drive', 'end_intersection': 'Lavington Drive', 'rule_type': 'block'}"
Mount Olive Drive,Both,Kipling Avenue and Silverstone Drive (southeast intersection),Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Silverstone Drive (southeast intersection)', 'rule_type': 'block'}"
Moynes Avenue,West,The Queensway and a point 122 metres north,Anytime,"{'start_intersection': 'The Queensway', 'distance': '122', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Mulgrove Drive,Both,Burnhamthorpe and Rathgar Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Burnhamthorpe', 'end_intersection': 'Rathgar Avenue', 'rule_type': 'block'}"
Olivewood Road,South,Shawbridge Avenue and Kipling Avenue,"7:00 a.m. to 9:00 a.m., 4:00 p.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Shawbridge Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Orianna Drive,West,Horner Avenue and Avalon Road,8:00 a.m. to 6:00 p.m.,"{'start_intersection': 'Horner Avenue', 'end_intersection': 'Avalon Road', 'rule_type': 'block'}"
Robin Hood Road,North,Chestnut Hills Parkway and a point 50 metres east,Anytime,"{'start_intersection': 'Chestnut Hills Parkway', 'distance': '50', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Robin Hood Road,South,Chestnut Hills Parkway and a point 37 metres east,Anytime,"{'start_intersection': 'Chestnut Hills Parkway', 'distance': '37', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Robin Hood Road,South,A point 37 metres east of Chestnut Hills Parkway and a point 60 metres east thereof,Anytime,"{'dist1': '37', 'dir1': 'east', 'start_intersection': 'Chestnut Hills Parkway', 'dist2': '60', 'rule_type': 'relative_extension'}"
Quinby Court,Both,Batawa Crescent and the east end of Quinby Court,Anytime,"{'start_intersection': 'Batawa Crescent', 'end_intersection': 'the east end of Quinby Court', 'rule_type': 'block'}"
Queen's Plate Drive,Both,Batawa Crescent and the south limit of the road,Anytime,"{'start_intersection': 'Batawa Crescent', 'end_intersection': 'the south limit of the road', 'rule_type': 'block'}"
Queen's Plate Drive,Both,Rexdale Boulevard and Vice Regent Boulevard,Anytime,"{'start_intersection': 'Rexdale Boulevard', 'end_intersection': 'Vice Regent Boulevard', 'rule_type': 'block'}"
Mulham Place,Both,Allanhurst Drive and Lemonwood Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Allanhurst Drive', 'end_intersection': 'Lemonwood Drive', 'rule_type': 'block'}"
Muncey Avenue,East,Golfdown Drive and Elmhurst Drive,"7:00 a.m. to 6:00 p.m., Mon. to Fri.","{'start_intersection': 'Golfdown Drive', 'end_intersection': 'Elmhurst Drive', 'rule_type': 'block'}"
Muncey Avenue,East,Elmhurst Drive and Golfdown Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Elmhurst Drive', 'end_intersection': 'Golfdown Drive', 'rule_type': 'block'}"
Orpington Crescent,Both,"A point 74 metres west of Adeline Court and a point 130 metres south, west, north and east thereof",Anytime,"{'distance': '74', 'direction': 'west', 'start_intersection': 'Adeline Court', 'end_intersection': 'a point 130 metres south, west, north and east thereof', 'rule_type': 'offset_to_intersect'}"
Ourland Avenue,Both,Simpson Avenue and a point 73 metres south,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Simpson Avenue', 'distance': '73', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Oxford Street (ET),South,A point 291 metres west of Alan Avenue and a point 46 metres west thereof,Anytime,"{'dist1': '291', 'dir1': 'west', 'start_intersection': 'Alan Avenue', 'dist2': '46', 'rule_type': 'relative_extension'}"
Ronson Drive,North,Kipling Avenue and Shaft Road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Shaft Road', 'rule_type': 'block'}"
Ronson Drive,South,Kipling Avenue and Martin Grove Road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Martin Grove Road', 'rule_type': 'block'}"
Ronson Drive,North,Martin Grove Road and a point 320 metres east,Anytime,"{'start_intersection': 'Martin Grove Road', 'distance': '320', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Rabbit Lane,East,Robinglade Drive and West Deane Park Drive,Anytime,"{'start_intersection': 'Robinglade Drive', 'end_intersection': 'West Deane Park Drive', 'rule_type': 'block'}"
Rabbit Lane,West,West Deane Park Drive and a point 43 metres south,Anytime,"{'start_intersection': 'West Deane Park Drive', 'distance': '43', 'direction': 'south', 'rule_type': 'perfect_offset'}"
Rabbit Lane,East,West Deane Park Drive and Sedgebrook Crescent,Anytime,"{'start_intersection': 'West Deane Park Drive', 'end_intersection': 'Sedgebrook Crescent', 'rule_type': 'block'}"
Munster Avenue,Both,Kipling Avenue and Shawbridge Avenue,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'Shawbridge Avenue', 'rule_type': 'block'}"
Murrie Street,South,Dwight Avenue and Royal York Road,Anytime,"{'start_intersection': 'Dwight Avenue', 'end_intersection': 'Royal York Road', 'rule_type': 'block'}"
Neilson Drive,Both,Dundas Street West and Bloor Street,Anytime,"{'start_intersection': 'Dundas Street West', 'end_intersection': 'Bloor Street', 'rule_type': 'block'}"
Oxford Street (ET),South,Grand Avenue and Wesley Street,Anytime,"{'start_intersection': 'Grand Avenue', 'end_intersection': 'Wesley Street', 'rule_type': 'block'}"
Oxford Street (ET),North,Royal York Road and a point 32 metres west of Alan Avenue,Anytime,"{'start_intersection': 'Royal York Road', 'distance': '32', 'direction': 'west', 'offset_intersection': 'Alan Avenue', 'rule_type': 'intersect_to_offset'}"
Oxford Street (ET),East and north,A point 65 metres north of Manitoba Street (east intersection) and a point 70 metres north and west thereof,Anytime,"{'distance': '65', 'direction': 'north', 'start_intersection': 'Manitoba Street (east intersection)', 'end_intersection': 'a point 70 metres north and west thereof', 'rule_type': 'offset_to_intersect'}"
Rosemeade Avenue,West,Lane first north of The Queensway and Tenby Street,Anytime,"{'start_intersection': 'Lane first north of The Queensway', 'end_intersection': 'Tenby Street', 'rule_type': 'block'}"
Rosemeade Avenue,East,Laneway first north of The Queensway and Tenby Street,"10:00 a.m. to 6:00 p.m., Mon. to Sat.","{'start_intersection': 'Laneway first north of The Queensway', 'end_intersection': 'Tenby Street', 'rule_type': 'block'}"
Rosewood Avenue,Both,Chartwell Road and the east end of Rosewood Avenue,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Chartwell Road', 'end_intersection': 'the east end of Rosewood Avenue', 'rule_type': 'block'}"
Ramsbury Road,Both,Bradfield Avenue and the south end of Ramsbury Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Bradfield Avenue', 'end_intersection': 'the south end of Ramsbury Road', 'rule_type': 'block'}"
Rampart Road,South,Martin Grove Road and the east end of Rampart Road,Anytime,"{'start_intersection': 'Martin Grove Road', 'end_intersection': 'the east end of Rampart Road', 'rule_type': 'block'}"
Rathburn Road,North,The East Mall and the west end of Rathburn Road,Anytime,"{'start_intersection': 'The East Mall', 'end_intersection': 'the west end of Rathburn Road', 'rule_type': 'block'}"
Newbridge Road,South,Shorncliffe Road and the east end of Newbridge Road,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Shorncliffe Road', 'end_intersection': 'the east end of Newbridge Road', 'rule_type': 'block'}"
Newbridge Road,North,A point 76 metres east of Shorncliffe Road and a point 14 metres east thereof,Anytime,"{'dist1': '76', 'dir1': 'east', 'start_intersection': 'Shorncliffe Road', 'dist2': '14', 'rule_type': 'relative_extension'}"
Pakenham Drive,Both,Gosfield Gate and Elmhurst Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Gosfield Gate', 'end_intersection': 'Elmhurst Drive', 'rule_type': 'block'}"
Rossburn Drive,Both,Mayland Avenue and a point 206 metres north,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Mayland Avenue', 'distance': '206', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Rowntree Road,Both,Kipling Avenue and the east limit of the road,Anytime,"{'start_intersection': 'Kipling Avenue', 'end_intersection': 'the east limit of the road', 'rule_type': 'block'}"
Roxaline Street,Both,Lawrence Avenue West and Braecrest Avenue,Anytime,"{'start_intersection': 'Lawrence Avenue West', 'end_intersection': 'Braecrest Avenue', 'rule_type': 'block'}"
Rathburn Road,South,The East Mall and a point 203 metres east of The West Mall,Anytime,"{'start_intersection': 'The East Mall', 'distance': '203', 'direction': 'east', 'offset_intersection': 'The West Mall', 'rule_type': 'intersect_to_offset'}"
Rathburn Road,South,The West Mall and the west end of Rathburn Road,Anytime,"{'start_intersection': 'The West Mall', 'end_intersection': 'the west end of Rathburn Road', 'rule_type': 'block'}"
Ravenscrest Drive,South,Duncairn Drive and Glen Agar Drive (northwest intersection),Anytime,"{'start_intersection': 'Duncairn Drive', 'end_intersection': 'Glen Agar Drive (northwest intersection)', 'rule_type': 'block'}"
Panorma Court,North,Kipling Avenue and a point 45.5 metres east,Anytime,"{'start_intersection': 'Kipling Avenue', 'distance': '45.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Panorama Court,South,Kipling Avenue and a point 45.5 metres east,Anytime,"{'start_intersection': 'Kipling Avenue', 'distance': '45.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Royalavon Crescent,Both,Dundas Street West and Tyre Avenue,Anytime,"{'start_intersection': 'Dundas Street West', 'end_intersection': 'Tyre Avenue', 'rule_type': 'block'}"
Royalcrest Road,Both,Highway 27 and Martin Grove Road,Anytime,"{'start_intersection': 'Highway 27', 'end_intersection': 'Martin Grove Road', 'rule_type': 'block'}"
Raymore Drive,North,Scarlett Road and a point 91.5 metres east,Anytime,"{'start_intersection': 'Scarlett Road', 'distance': '91.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Reading Court,South,Attwell Drive and the west end of Reading Court,Anytime,"{'start_intersection': 'Attwell Drive', 'end_intersection': 'the west end of Reading Court', 'rule_type': 'block'}"
New Toronto Street,Both,Dwight Avenue and Kipling Avenue,Anytime,"{'start_intersection': 'Dwight Avenue', 'end_intersection': 'Kipling Avenue', 'rule_type': 'block'}"
Newholm Road,Both,Cloverhill Road and a point 45 metres north,Anytime,"{'start_intersection': 'Cloverhill Road', 'distance': '45', 'direction': 'north', 'rule_type': 'perfect_offset'}"
Newington Crescent,"West, north and east",Elmbrook Court (east intersection) and Elmbrook Court (west intersection),Anytime,"{'start_intersection': 'Elmbrook Court (east intersection)', 'end_intersection': 'Elmbrook Court (west intersection)', 'rule_type': 'block'}"
Panorama Court,South,A point 228 metres east of Kipling Avenue and the east end of Panorama Court,Anytime,"{'distance': '228', 'direction': 'east', 'start_intersection': 'Kipling Avenue', 'end_intersection': 'the east end of Panorama Court', 'rule_type': 'offset_to_intersect'}"
Park Boulevard,North,Long Branch Avenue and Thirty First Street,Anytime,"{'start_intersection': 'Long Branch Avenue', 'end_intersection': 'Thirty First Street', 'rule_type': 'block'}"
Park Boulevard,South,Thirty First Street and Thirty Third Street,Anytime,"{'start_intersection': 'Thirty First Street', 'end_intersection': 'Thirty Third Street', 'rule_type': 'block'}"
Royal York Road,Both,Braecrest Avenue and Dixon Road,Anytime,"{'start_intersection': 'Braecrest Avenue', 'end_intersection': 'Dixon Road', 'rule_type': 'block'}"
Royal York Road,Both,Lake Shore Boulevard West and the south end of Royal York Road,Anytime,"{'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'the south end of Royal York Road', 'rule_type': 'block'}"
Royal York Road,East,Lake Shore Boulevard West and Eastbourne Crescent,Anytime,"{'start_intersection': 'Lake Shore Boulevard West', 'end_intersection': 'Eastbourne Crescent', 'rule_type': 'block'}"
Norbrook Crescent,"North, west and south",Woolenscote Circle and Westmore Drive,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Woolenscote Circle', 'end_intersection': 'Westmore Drive', 'rule_type': 'block'}"
Norby Crescent,West,A point 70 metres east of Sun Row Drive and a point 111.5 metres east thereof,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'dist1': '70', 'dir1': 'east', 'start_intersection': 'Sun Row Drive', 'dist2': '111.5', 'rule_type': 'relative_extension'}"
Norby Crescent,North and east,Sun Row Drive and a point 181.5 metres east,"8:00 a.m. to 5:00 p.m., Mon. to Fri.","{'start_intersection': 'Sun Row Drive', 'distance': '181.5', 'direction': 'east', 'rule_type': 'perfect_offset'}"
Park Boulevard,South,Long Branch Avenue and a point 61 metres east,Anytime,"{'start_intersection': 'Long Branch Avenue', 'distance': '61', 'direction': 'east', 'rule_type': 'perfect_offset'}"
